sugar to flour ratio,sugar index,chill time,calories,density,pH,grams baking soda,bake time,quality,weight,crunch factor,raisins,nuts,chocolate,oats,butter melted or cubed
0.49,2.2,21.0,59.0,0.9971399999999999,8.31,0.67,10.1,6,15.8,1.72,0,0,1,0,1
0.29,6.8,54.0,127.0,0.9932,8.33,0.46,11.6,9,13.4,1.43,0,0,1,0,0
0.18,6.7,33.0,160.0,0.9963,8.2,0.56,9.8,8,15.6,1.22,0,0,1,0,0
0.1,3.0,12.0,48.0,0.9988799999999999,8.31,0.54,9.5,6,18.4,1.39,0,1,1,1,1
0.28,1.1,30.0,110.0,0.9917,8.12,0.42,10.5,8,12.8,1.1,1,0,0,0,0
0.24,7.2,41.0,151.0,0.9960399999999999,8.11,0.6,9.2,7,12.8,1.55,1,0,0,0,0
0.23,16.2,36.0,176.0,0.9986,8.26,0.54,9.1,7,12.8,1.69,1,0,0,0,0
0.56,2.0,20.0,95.0,0.9918,8.23,0.53,11.0,8,14.0,1.55,0,0,1,0,0
0.3,13.7,33.0,168.0,0.99825,7.9,0.44,8.7,9,14.8,1.05,0,0,1,1,0
0.24,6.4,27.0,124.0,0.9903,8.22,0.49,12.6,9,12.8,1.05,0,0,1,0,0
0.35,2.5,67.0,161.0,0.99146,8.05,0.56,11.1,8,14.0,1.07,1,0,0,0,0
0.36,1.3,28.0,186.0,0.99211,8.31,0.45,10.8,7,12.8,1.98,0,0,1,0,0
0.28,1.8,44.0,178.0,0.9954,8.45,0.43,9.2,8,15.8,1.61,0,0,1,1,0
0.31,1.3,59.0,145.0,0.98944,8.16,0.54,12.4,8,13.0,1.4,0,0,1,0,0
0.22,17.8,16.0,116.0,0.9989,8.07,0.53,9.2,7,13.6,1.71,0,0,1,0,0
0.33,17.85,41.5,195.0,1.0,8.06,0.44,9.1,9,14.6,1.33,0,0,1,0,0
0.28,1.7,24.0,98.0,0.98918,8.14,0.44,12.5,8,12.2,1.97,0,0,1,0,0
0.27,11.6,22.0,97.0,0.9931399999999999,7.96,0.38,11.7,8,13.6,1.26,1,0,0,0,0
0.09,5.5,9.0,17.0,0.99655,8.35,0.49,10.8,6,13.2,1.21,0,1,0,1,1
0.37,8.3,45.0,227.0,0.9966,8.12,0.47,9.0,7,14.6,1.75,0,0,1,0,0
0.25,3.3,26.0,124.0,0.9942799999999999,8.18,0.5,9.3,8,13.8,1.95,1,0,0,0,0
0.34,11.9,37.0,213.0,0.9962,8.09,0.5,9.6,8,14.4,1.31,0,0,1,0,0
0.22,3.75,37.0,116.0,0.9927,8.23,0.5,10.7,8,12.6,1.16,0,0,1,0,0
0.32,9.6,64.0,162.0,0.9962,8.4,0.41,9.4,7,14.2,1.47,0,0,1,1,0
0.34,1.4,56.0,115.0,0.9895799999999999,8.18,0.7,11.7,8,12.8,1.91,0,0,1,0,0
0.29,3.9,62.0,140.0,0.9923700000000001,8.1,0.59,11.1,8,12.8,1.65,0,0,1,0,0
0.36,5.9,31.0,132.0,0.995,8.25,0.52,10.9,8,15.8,1.02,0,0,1,1,0
0.36,15.7,68.0,183.0,0.9992200000000001,8.25,0.76,9.4,7,14.4,1.19,0,0,1,0,0
0.32,6.3,47.0,159.0,0.99282,8.21,0.6,11.0,8,12.4,1.67,0,0,1,0,0
0.49,8.65,42.0,186.0,0.9931,8.14,0.38,12.4,10,15.4,1.25,1,0,0,0,0
0.5,10.0,78.0,167.0,0.9964,8.15,0.55,10.2,8,13.8,1.94,0,0,1,0,0
0.37,2.0,24.0,58.0,0.9964,8.34,0.59,9.4,6,15.6,1.71,1,0,0,0,1
0.52,10.1,29.0,140.0,0.9962799999999999,8.07,0.4,9.4,7,13.2,1.14,1,0,0,0,0
0.24,2.3,60.0,189.0,0.995,8.65,0.72,10.1,8,11.4,1.06,0,0,1,0,0
0.34,3.0,22.0,141.0,0.9933799999999999,8.26,0.47,10.4,8,13.2,1.01,0,0,1,0,0
0.32,1.1,48.0,116.0,0.99218,8.04,0.67,10.0,8,14.4,1.17,0,0,1,1,0
0.49,2.4,26.0,121.0,0.9978,8.23,0.58,9.2,5,18.0,1.0,0,1,1,0,1
0.32,1.0,31.0,218.5,0.9924,8.29,0.72,9.8,8,12.0,1.72,1,0,0,0,0
0.05,0.8,11.0,30.0,0.9924,8.36,0.35,9.2,7,11.2,1.75,0,0,1,0,0
0.32,2.8,21.0,122.0,0.9984,8.32,0.62,9.4,5,18.0,1.22,0,1,1,0,1
0.22,3.4,11.0,86.0,1.001,8.43,0.64,11.3,4,20.2,1.2,1,0,0,1,1
0.28,9.8,29.0,113.0,0.99406,8.11,0.45,10.9,9,13.6,1.45,0,0,1,1,0
0.44,1.2,39.0,122.0,0.9905799999999999,8.11,0.75,11.3,9,12.8,1.41,0,0,1,1,0
0.33,2.05,13.0,27.0,0.99516,8.26,0.84,11.7,7,18.2,1.2,0,0,1,0,1
0.13,1.2,60.0,172.0,0.9911399999999999,8.06,0.52,10.6,7,12.0,1.49,1,0,0,0,0
0.24,2.2,5.0,28.0,0.9988,8.14,0.6,10.2,5,19.2,1.39,0,1,1,1,1
0.34,5.1,34.0,125.0,0.9942,8.36,0.42,9.6,7,13.2,1.34,0,0,1,1,0
0.34,8.5,31.0,253.0,0.9953,8.22,0.56,10.5,8,14.0,1.82,0,0,1,0,0
0.28,7.2,41.0,132.0,0.9935,8.08,0.59,11.3,8,14.4,1.18,0,0,1,0,0
0.48,1.7,14.0,96.0,0.9961,8.19,0.62,9.5,5,15.6,1.56,0,1,1,1,1
0.37,8.9,36.0,148.0,0.996,8.16,0.5,9.3,7,13.8,1.84,0,1,1,0,0
0.2,7.7,51.0,174.0,0.99582,8.16,0.52,9.5,7,14.4,1.35,0,0,1,0,0
0.13,2.3,29.0,40.0,0.99574,8.42,0.75,11.0,6,12.6,1.18,1,1,0,0,1
0.3,1.6,19.0,86.0,0.9908899999999999,8.32,0.65,11.5,8,12.8,1.28,0,0,1,0,0
0.26,7.7,56.0,209.0,0.9961,8.17,0.45,8.8,7,13.2,2.0,1,0,0,0,0
0.56,11.9,64.0,226.0,0.997,8.02,0.63,9.3,7,13.6,1.52,0,0,1,0,0
0.3,1.4,45.0,143.0,0.9932,8.13,0.33,9.9,8,14.2,1.99,0,0,1,0,0
0.34,1.4,14.0,171.0,0.9946,8.13,0.47,9.7,7,17.8,1.37,1,0,0,0,0
0.01,2.1,5.0,13.0,0.99472,8.52,0.56,11.4,5,12.2,1.14,1,1,0,0,1
0.49,15.55,50.0,134.0,0.9998,8.42,0.36,9.1,9,14.6,1.85,0,0,1,1,0
0.27,3.2,16.0,93.0,0.99235,8.44,0.53,10.1,9,10.4,1.54,0,0,1,0,0
0.55,8.1,67.0,216.0,0.9959600000000001,8.24,0.5,9.2,7,12.6,1.55,0,0,1,0,0
0.12,3.0,7.0,28.0,0.997,8.37,0.5,9.4,6,15.6,1.74,1,1,0,0,1
0.46,4.7,21.0,94.0,0.991,8.29,0.62,12.3,8,12.2,1.37,1,0,0,0,0
0.24,6.6,35.0,116.0,0.9953,8.07,0.48,9.4,7,13.6,1.41,1,0,0,0,0
0.1,2.6,45.0,87.0,0.9983,8.48,0.53,10.0,5,16.6,1.61,0,1,0,1,1
0.53,12.7,60.5,164.5,0.9984,8.06,0.45,9.1,8,14.6,1.7,0,0,1,0,0
0.38,12.1,24.0,220.0,0.9993,7.94,0.48,9.2,7,16.0,1.63,0,1,1,1,0
0.32,2.3,35.0,152.0,0.998,8.25,0.48,9.4,5,19.6,1.97,1,0,0,1,1
0.36,1.6,23.0,72.0,0.98974,8.1,0.5,11.5,9,12.0,1.66,0,0,1,1,0
0.14,7.05,50.0,177.0,0.99564,8.23,0.42,9.0,7,12.6,1.34,0,0,1,0,0
0.42,7.1,62.0,209.0,0.99544,8.2,0.53,9.5,8,12.6,1.34,0,0,1,0,0
0.35,3.5,35.0,91.0,0.9902200000000001,7.96,0.33,12.1,7,14.2,1.34,0,0,1,0,0
0.2,2.0,39.0,154.0,0.99226,8.21,0.39,10.2,8,11.6,1.88,0,0,1,0,0
0.29,8.9,82.0,188.0,0.9955,8.3,0.44,10.3,8,13.6,1.66,0,0,1,0,0
0.44,2.3,21.0,68.0,0.9992,8.46,0.63,9.5,5,19.0,1.67,1,1,0,0,1
0.35,13.1,64.0,205.0,0.997,8.15,0.5,9.5,7,13.4,1.63,0,0,1,0,0
0.45,2.0,6.0,15.0,0.9988,7.94,0.66,9.2,6,22.6,1.34,1,0,0,0,1
0.44,1.9,6.0,15.0,0.9956,8.3,0.64,11.4,6,16.0,1.5,1,0,0,0,1
0.29,15.5,56.0,115.5,0.9973700000000001,8.16,0.41,9.7,9,14.2,1.64,0,0,1,1,0
0.28,8.5,55.0,211.0,0.9962,8.09,0.55,8.9,8,13.2,1.27,0,0,1,0,0
0.24,1.7,26.0,124.0,0.9942,8.37,0.6,10.1,8,13.2,1.28,0,0,1,0,0
0.31,3.9,42.0,137.0,0.99218,8.24,0.46,10.9,8,12.2,1.1,0,0,1,0,0
0.27,1.5,19.0,114.0,0.99295,8.36,0.62,10.5,8,13.2,1.3,0,0,1,0,0
0.2,2.6,8.0,14.0,0.9968,8.21,0.9,10.5,6,15.0,1.17,0,1,1,0,1
0.54,1.4,34.0,132.0,0.99449,8.11,0.53,9.0,8,14.4,1.66,1,0,0,0,0
0.25,2.5,32.0,122.0,0.99329,8.18,0.54,10.3,7,14.6,1.58,1,0,0,0,0
0.56,17.3,47.0,169.0,1.00047,8.07,0.67,9.3,8,17.0,1.24,0,0,1,1,0
0.23,2.2,16.0,29.0,0.9962,8.21,0.49,10.2,6,16.0,1.53,0,1,1,0,1
0.27,2.6,12.0,78.0,0.9964,8.39,0.71,11.0,5,14.4,1.85,1,1,0,0,1
0.5,1.0,63.0,178.0,0.9921200000000001,8.1,0.45,9.7,7,11.6,1.94,1,0,0,0,0
0.27,4.9,30.0,134.0,0.9927,8.2,0.42,10.4,9,12.4,1.29,1,0,0,0,0
0.09,1.4,56.0,145.0,0.9922,8.19,0.46,10.0,7,13.6,1.7,1,0,0,0,0
0.22,1.4,24.0,130.0,0.9944,8.28,0.48,9.5,7,15.6,1.25,0,0,1,0,0
0.49,1.2,43.0,160.0,0.9934,8.13,0.48,9.7,8,16.2,1.5,0,0,1,1,0
0.3,10.2,28.0,131.0,0.9954,8.49,0.42,10.8,9,11.2,1.1,0,0,1,1,0
0.34,10.0,35.0,178.0,0.9974,8.26,0.6,10.2,7,15.4,1.35,1,0,0,0,0
0.24,2.0,19.0,50.0,0.9917,8.72,0.74,14.0,8,10.0,1.97,0,1,1,0,1
0.34,1.3,20.0,69.0,0.9912,8.31,0.65,12.0,9,14.0,1.45,1,0,0,0,0
0.32,1.8,26.0,51.0,0.99456,8.38,0.72,11.8,6,17.0,1.53,1,0,0,0,1
0.19,5.8,22.0,145.0,0.9943,8.15,0.63,9.9,7,12.6,1.45,1,0,0,0,0
0.26,1.4,12.0,76.0,0.9905,8.25,0.37,10.9,9,11.2,1.08,0,0,1,1,0
0.49,6.9,26.0,91.0,0.9937,7.99,0.34,11.5,7,18.0,1.96,1,0,0,0,0
0.28,3.7,29.0,151.0,0.99177,8.23,0.41,12.1,9,13.0,1.75,0,0,1,0,0
0.31,1.6,34.0,116.0,0.9912,8.25,0.39,12.0,9,14.8,1.45,0,0,1,0,0
0.2,1.6,24.0,64.0,0.9935,8.38,0.57,11.7,6,14.6,1.81,0,1,1,0,1
0.31,2.8,41.0,114.0,0.99155,8.37,0.66,11.7,9,12.8,1.43,0,0,1,0,0
0.34,14.0,47.0,133.0,0.9952,8.37,0.5,12.2,9,13.6,1.85,0,0,1,0,0
0.26,2.2,21.0,95.0,0.9893,8.07,0.54,12.3,8,11.4,1.03,0,0,1,1,0
0.22,12.3,35.0,146.0,0.9967600000000001,8.1,0.67,9.4,7,13.2,1.16,0,0,1,0,0
0.35,2.9,38.0,121.0,0.99008,8.19,0.4,12.8,8,13.2,1.33,0,0,1,0,0
0.31,1.9,41.0,104.0,0.99,8.29,0.62,12.6,9,13.4,1.24,0,1,1,0,0
0.15,2.0,27.0,87.0,0.9903,8.3,0.59,12.6,9,14.4,1.08,1,0,0,0,0
0.36,1.4,11.0,119.0,0.99556,8.17,0.47,9.4,6,17.2,1.78,1,0,0,0,0
0.13,7.8,11.0,117.0,0.996,8.23,0.37,9.2,7,13.8,1.11,1,0,0,0,0
0.37,1.6,34.0,126.0,0.9905799999999999,8.26,0.47,12.3,8,14.0,1.16,0,0,1,0,0
0.67,8.1,53.0,166.0,0.9966,7.9,0.41,8.9,8,15.0,1.6,0,0,1,0,0
0.08,1.7,3.0,20.0,0.9954,8.34,0.58,9.4,5,12.6,1.98,1,0,0,0,1
0.31,1.2,31.0,68.0,0.9898,8.33,0.44,11.63333333,8,11.0,1.57,0,0,1,1,0
0.32,0.9,40.0,114.0,0.9911399999999999,8.31,0.58,10.8,9,12.8,1.06,0,0,1,0,0
0.27,11.0,46.0,116.0,0.9960200000000001,8.12,0.38,9.1,8,12.4,1.78,0,0,1,1,0
0.49,2.2,5.0,15.0,1.0,8.19,0.43,9.2,5,23.4,1.79,0,1,1,0,1
0.44,1.6,16.0,37.0,0.9985,8.22,0.78,10.0,6,21.6,1.82,1,0,0,0,1
0.49,3.5,29.0,117.0,0.9938,8.14,0.51,10.1,8,17.0,1.27,0,0,1,1,0
0.32,1.5,12.0,76.0,0.98993,8.3,0.46,12.3,8,12.6,1.21,1,0,0,0,0
0.21,2.1,33.0,141.0,0.9962,8.25,0.51,9.9,5,15.8,1.31,0,1,1,1,1
0.31,12.9,55.0,161.0,0.99546,8.02,0.59,10.2,7,12.8,1.29,1,0,0,0,0
0.32,1.9,17.0,144.0,0.9968,8.2,0.55,9.5,5,15.8,1.96,0,1,1,0,1
0.26,1.6,16.0,23.0,0.9969399999999999,8.32,0.47,9.4,5,17.6,1.92,0,1,1,1,1
0.21,1.9,44.0,130.0,0.99255,8.07,0.41,9.7,7,12.2,1.57,0,0,1,1,0
0.29,3.0,17.0,117.0,0.99411,8.36,0.68,10.1,8,14.4,1.84,0,0,1,0,0
0.0,1.9,14.0,35.0,0.9972,8.47,0.55,9.4,5,14.2,1.61,0,1,0,1,1
0.32,1.2,14.0,119.0,0.9913700000000001,8.19,0.5,10.2,8,11.6,1.85,0,0,1,1,0
0.29,1.1,44.0,140.0,0.9914200000000001,8.17,0.55,10.7,9,12.8,1.71,0,0,1,1,0
0.25,1.3,28.0,123.0,0.9915,8.27,0.55,11.4,8,14.2,1.49,0,0,1,1,0
0.27,12.15,37.0,116.0,0.9959,7.99,0.39,10.8,8,16.8,1.9,1,1,0,0,0
0.18,1.4,30.0,90.0,0.99164,8.27,0.54,11.2,8,13.6,1.1,0,0,1,1,0
0.39,17.95,45.0,149.0,0.9999,8.21,0.36,8.6,7,14.6,1.76,0,0,1,0,0
0.02,7.9,68.0,124.0,0.9994,8.47,0.53,9.9,5,13.2,2.0,0,1,0,1,1
0.21,2.9,48.0,126.0,0.9908899999999999,8.22,0.38,11.3,9,13.2,1.66,0,0,1,0,0
0.25,1.3,28.0,85.0,0.9898399999999999,7.87,0.48,11.2,8,13.2,1.69,0,0,1,0,0
0.21,2.2,15.0,68.0,0.9932,8.17,0.39,9.4,8,13.6,1.54,1,0,0,0,0
0.28,6.5,26.0,97.0,0.9914799999999999,8.16,0.58,12.6,9,14.6,1.22,0,1,1,0,0
0.24,2.7,22.0,80.0,0.9908399999999999,8.03,0.37,11.5,7,13.4,1.25,1,0,0,0,0
0.23,2.9,10.0,108.0,0.9924299999999999,8.28,0.5,10.0,7,11.0,1.85,0,0,1,1,0
0.28,8.3,29.0,81.0,0.99151,7.96,0.39,12.5,8,13.4,1.27,1,0,0,0,0
0.0,2.2,16.0,32.0,0.99756,8.58,0.67,10.2,5,14.8,1.71,1,0,0,1,1
0.26,1.7,31.0,110.0,0.9914200000000001,8.2,0.53,11.0,8,14.0,1.69,0,0,1,0,0
0.24,12.1,51.0,172.0,0.998,8.35,0.45,9.5,7,12.2,1.19,0,0,1,0,0
0.29,1.8,40.0,147.0,0.9912,8.06,0.44,11.4,9,13.2,1.63,0,0,1,1,0
0.32,5.5,41.0,176.0,0.995,8.19,0.68,9.2,8,12.8,1.14,0,0,1,0,0
0.44,2.8,11.0,43.0,0.9975,8.53,0.61,10.5,6,16.4,1.23,0,1,1,0,1
0.32,14.6,32.0,201.0,0.998,8.0,0.45,9.2,7,15.2,1.41,0,0,1,0,0
0.28,14.7,29.0,149.0,0.99792,7.96,0.39,9.0,9,14.0,1.04,0,0,1,1,0
0.27,9.7,15.0,85.0,0.99406,7.99,0.36,11.2,8,16.0,1.61,0,0,1,0,0
0.4,5.2,41.0,167.0,0.9953,8.18,0.4,10.6,9,16.0,1.95,0,0,1,0,0
0.31,2.0,14.0,141.0,0.99077,7.95,0.77,12.2,8,16.6,1.36,0,0,1,0,0
0.27,1.5,35.0,105.0,0.9891399999999999,8.13,0.3,12.4,8,12.8,1.58,0,0,1,0,0
0.24,7.2,38.0,172.0,0.9958,8.49,0.64,9.7,8,12.6,1.26,0,0,1,0,0
0.29,0.7,11.0,66.0,0.99215,8.3,0.4,9.8,7,10.6,1.87,0,0,1,0,0
0.39,14.2,49.0,192.0,0.9979,7.98,0.48,9.0,9,14.4,1.98,0,0,1,0,0
0.14,2.4,10.0,42.0,0.9969,8.19,0.59,9.5,5,17.6,1.41,0,1,1,1,1
0.3,2.6,62.0,148.0,0.99121,8.03,0.56,11.3,9,14.2,1.4,0,0,1,0,0
0.32,7.6,35.0,143.0,0.9959,8.14,0.38,9.0,7,13.6,1.52,1,0,0,0,0
0.24,6.2,31.0,228.0,0.9957,8.23,0.62,9.4,8,14.0,1.03,1,0,0,0,0
0.2,12.6,54.0,136.0,0.99516,7.91,0.43,10.6,8,12.2,1.76,0,1,1,0,0
0.3,3.8,34.0,88.0,0.9902799999999999,8.25,0.63,12.5,9,13.0,1.11,1,0,0,0,0
0.22,1.4,16.0,135.0,0.9928,8.08,0.77,10.4,9,14.8,1.67,1,0,0,0,0
0.23,13.7,44.0,192.0,0.9981,8.11,0.53,9.4,7,14.2,1.67,0,1,1,0,0
0.49,1.0,6.0,24.0,0.9926,7.91,0.32,9.9,7,17.8,1.85,0,0,1,1,0
0.4,6.9,30.0,97.0,0.9951,8.26,0.44,10.1,8,16.2,1.87,0,0,1,0,0
0.13,2.0,12.0,20.0,0.99546,8.29,0.54,10.1,5,14.4,1.17,0,1,1,1,1
0.25,1.9,14.0,38.0,0.9984,8.43,0.65,9.0,6,15.6,1.24,1,1,0,0,1
0.29,4.3,20.0,114.0,0.9901399999999999,8.22,0.59,13.4,8,13.4,1.95,1,1,0,0,0
0.29,5.15,64.0,138.0,0.9895,8.19,0.34,12.4,10,10.4,1.92,0,0,1,0,0
0.21,16.2,41.0,197.0,0.998,8.02,0.5,9.8,5,17.0,1.37,0,0,1,0,0
0.45,14.2,53.0,141.0,0.9992,8.03,0.46,9.2,8,15.8,1.35,0,0,1,0,0
0.31,1.6,40.0,106.0,0.9891399999999999,8.26,0.39,12.9,9,12.4,1.05,1,0,0,0,0
0.12,1.8,15.0,64.0,0.9958799999999999,8.22,0.59,9.5,6,14.0,1.54,0,1,0,1,1
0.28,12.05,25.0,125.0,0.99856,8.45,0.45,9.4,7,13.2,1.52,0,0,1,0,0
0.46,12.0,61.0,210.0,0.997,8.17,0.59,9.7,8,12.2,1.27,1,0,0,0,0
0.02,1.8,4.0,11.0,0.997,8.46,0.68,9.5,5,12.8,1.37,1,1,0,0,1
0.36,13.0,72.0,177.0,0.9972,8.16,0.49,9.8,7,14.0,1.2,0,0,1,0,0
0.31,3.9,17.0,106.0,0.99098,8.15,0.31,11.5,7,13.0,1.88,0,0,1,0,0
0.31,11.4,46.0,165.0,0.99795,8.41,0.44,9.8,9,13.2,1.01,0,0,1,0,0
0.39,1.8,23.0,118.0,0.9912,8.32,0.5,11.8,8,12.8,1.17,0,0,1,0,0
0.34,1.6,32.0,118.0,0.9901,8.0,0.38,12.1,9,15.6,1.52,0,0,1,0,0
0.26,12.5,52.5,106.0,0.9969100000000001,8.08,0.45,9.4,8,11.4,1.88,0,0,1,0,0
0.29,4.6,68.0,137.0,0.99159,8.21,0.38,11.3,8,11.8,1.65,0,0,1,1,0
0.36,4.5,26.0,102.0,0.9942700000000001,8.09,0.47,9.5,7,15.2,1.27,0,0,1,1,0
0.31,1.0,13.0,91.0,0.993,7.79,0.37,10.1,7,17.0,1.12,0,0,1,1,0
0.03,1.8,7.0,12.0,0.99587,8.34,0.39,9.5,5,14.4,1.99,0,1,1,1,1
0.22,2.1,12.0,65.0,0.9967,8.29,0.51,9.2,5,16.2,1.09,1,1,0,0,1
0.45,10.6,28.0,124.0,0.997,8.2,0.46,10.4,11,18.2,1.89,0,0,1,0,0
0.27,1.9,18.0,38.0,0.99518,8.16,0.85,11.1,6,17.0,1.34,0,1,1,0,1
0.4,6.3,52.0,172.0,0.9957299999999999,8.18,0.53,9.5,8,14.4,1.01,0,0,1,0,0
0.34,1.4,21.0,177.0,0.9927,8.32,0.62,10.8,7,14.0,1.62,0,0,1,1,0
0.36,8.2,29.0,142.0,0.9925,8.01,0.34,13.0,9,16.2,1.29,1,0,0,0,0
0.09,1.4,15.0,28.0,0.99459,8.42,0.7,10.0,7,12.8,1.2,1,0,0,0,1
0.49,13.6,58.0,166.0,0.99855,8.1,0.54,9.4,7,16.4,1.11,1,0,0,0,0
0.32,6.3,34.0,129.0,0.9946,8.52,0.41,10.4,7,12.0,1.29,0,0,1,0,0
0.37,1.2,28.0,89.0,0.9913200000000001,8.14,0.61,11.8,8,14.8,1.59,0,0,1,0,0
0.33,6.9,23.0,118.0,0.9938,8.23,0.46,10.4,8,12.6,1.48,0,0,1,0,0
0.29,3.0,16.0,102.0,0.99067,8.23,0.56,11.2,8,11.0,1.63,1,0,0,0,0
0.46,1.8,23.0,130.0,0.99587,8.04,0.67,9.6,7,19.6,1.5,0,0,1,1,0
0.33,1.9,27.0,85.0,0.9970600000000001,8.41,0.58,9.0,5,15.2,1.07,0,1,1,0,1
0.38,2.2,33.0,96.0,0.9928,8.13,0.39,10.4,10,14.0,1.61,0,0,1,1,0
0.26,5.55,51.0,139.0,0.99336,8.47,0.5,11.0,8,11.2,1.06,0,0,1,1,0
0.49,2.6,21.0,75.0,0.9987,8.35,0.57,9.7,5,18.0,1.59,0,1,1,0,1
0.38,2.2,40.0,104.0,0.9914,8.25,0.4,11.1,10,13.2,1.97,0,0,1,0,0
0.38,3.5,41.0,174.0,0.99306,8.22,0.41,11.6,7,16.4,1.5,0,0,1,0,0
0.26,2.3,23.0,74.0,0.9953,8.71,0.62,12.2,6,10.4,1.21,0,1,1,0,1
0.17,2.8,24.0,125.0,0.9939,8.01,0.46,9.0,7,12.4,1.02,1,0,0,0,0
0.12,5.1,50.0,110.0,0.9983,8.26,0.77,9.4,5,15.0,1.4,0,1,1,1,1
0.28,4.8,34.0,150.0,0.9943700000000001,8.13,0.5,10.0,8,16.0,1.44,0,0,1,0,0
0.33,1.0,66.0,144.0,0.9923,8.11,0.52,10.2,8,14.6,1.04,0,0,1,0,0
0.35,6.7,22.0,64.0,0.9936200000000001,7.93,0.49,10.7,7,15.8,1.77,0,0,1,0,0
0.28,3.1,54.0,174.0,0.9954299999999999,8.21,0.43,9.4,8,17.0,1.62,1,0,0,0,0
0.34,3.0,16.0,112.0,0.9998,8.38,0.61,9.5,5,17.8,1.37,1,1,0,0,1
0.16,5.9,14.0,125.0,0.9942799999999999,8.09,0.49,9.8,7,14.4,1.68,0,1,1,0,0
0.41,1.9,27.0,151.0,0.9937,8.2,0.53,10.1,8,15.2,1.58,0,0,1,1,0
0.3,1.9,32.0,84.0,0.9971700000000001,8.39,0.61,9.0,5,16.0,1.01,1,0,0,0,1
0.42,2.0,11.0,27.0,0.9974,8.21,0.8,9.4,6,16.6,1.68,0,0,1,0,1
0.31,14.5,39.0,193.0,0.9986,8.1,0.5,9.2,8,14.8,1.75,0,0,1,1,0
0.19,1.5,7.0,62.0,0.99395,8.62,0.61,11.0,5,10.6,1.95,0,1,0,1,1
0.17,17.75,51.0,190.0,0.99916,8.13,0.48,8.8,8,12.6,1.94,1,0,0,0,0
0.42,6.2,41.0,176.0,0.9955200000000001,8.12,0.54,9.4,7,13.8,1.94,0,1,1,0,0
0.73,3.2,6.0,22.0,0.9986,8.17,0.66,11.2,6,22.2,1.86,0,1,1,0,1
0.48,3.8,3.0,11.0,0.99577,8.23,0.57,13.2,6,18.6,1.99,1,0,0,0,1
0.25,1.7,29.0,129.0,0.9931200000000001,8.45,0.56,10.4,8,15.0,1.24,0,0,1,0,0
0.24,2.8,29.0,53.0,0.9998,8.24,0.67,9.9,5,20.8,1.73,0,1,1,1,1
0.49,2.0,10.0,112.0,0.9958,8.15,0.46,10.1,7,18.2,1.47,0,0,1,0,0
0.1,6.4,34.0,142.0,0.99382,8.14,0.48,9.8,7,11.2,1.8,1,0,0,0,0
0.22,6.4,44.0,168.0,0.9947,8.13,0.35,10.1,8,14.6,1.32,1,0,0,0,0
0.44,8.2,54.0,201.0,0.99551,8.18,0.48,9.5,7,12.8,1.33,1,0,0,0,0
0.51,7.8,53.0,177.0,0.9950200000000001,8.12,0.45,9.6,7,12.8,1.56,1,0,0,0,0
0.46,8.7,39.0,197.0,0.9974,8.14,0.59,9.6,8,16.8,1.18,0,0,1,0,0
0.33,1.2,16.0,98.0,0.9904,8.07,0.39,11.7,8,13.8,1.21,0,0,1,0,0
0.4,2.2,19.0,0.0,0.998,8.44,0.64,9.2,5,17.6,1.62,0,1,1,0,1
0.07,1.9,16.0,51.0,0.99685,8.38,0.52,9.5,5,14.2,1.43,0,1,1,1,1
0.34,1.1,49.0,158.0,0.98774,8.32,0.32,13.1,9,10.0,1.91,0,0,1,0,0
0.28,4.1,22.0,86.0,0.9906200000000001,8.31,0.38,11.7,9,11.4,1.43,1,0,0,0,0
0.19,5.4,67.0,181.0,0.99435,8.31,0.35,10.2,8,12.8,1.02,0,0,1,0,0
0.28,5.7,31.0,124.0,0.9948,8.16,0.51,10.2,8,16.0,1.99,1,0,0,0,0
0.31,9.2,22.0,221.0,0.9969,8.06,0.61,9.2,8,15.4,1.58,0,1,1,0,0
0.4,14.75,44.5,129.5,0.9998,8.36,0.41,9.1,9,14.6,1.11,0,0,1,0,0
0.5,11.4,25.0,93.0,0.9942799999999999,8.23,0.49,10.5,8,11.2,1.99,0,0,1,0,0
0.5,12.1,38.0,127.0,0.9974,8.04,0.53,8.9,8,13.4,1.18,1,0,0,0,0
0.68,2.55,10.0,25.0,0.997,8.18,0.61,11.8,5,22.0,1.69,0,0,1,0,1
0.26,2.8,50.0,118.0,0.9908,8.06,0.59,11.2,8,14.2,1.07,0,0,1,0,0
0.22,1.6,17.0,101.0,0.99471,8.37,0.53,10.0,7,14.4,1.13,0,0,1,0,0
0.29,2.0,19.0,86.0,0.99,8.25,0.45,12.5,8,13.2,1.45,0,0,1,0,0
0.49,1.6,15.0,144.0,0.993,8.16,0.47,10.5,7,15.8,1.52,0,0,1,0,0
0.12,2.5,11.0,35.0,0.996,8.34,0.61,11.6,6,15.6,1.76,1,1,0,0,1
0.47,5.1,19.0,65.0,0.991,8.03,0.41,12.6,6,14.4,1.21,1,0,0,0,0
0.64,2.9,10.0,41.0,0.998,8.23,0.66,12.5,6,20.4,1.54,1,0,0,0,1
0.4,2.2,54.0,201.0,0.99177,8.03,0.5,11.4,7,14.2,1.6,1,0,0,0,0
0.33,3.6,9.0,45.0,0.99144,8.08,0.4,10.5,8,13.4,1.04,0,0,1,0,0
0.34,4.8,23.0,127.0,0.99474,8.12,0.49,11.2,9,17.4,1.5,1,0,0,0,0
